time,zeroDetector.i,zeroDetector.z,simpleMath.x,simpleMath.y,simpleMath.der(x)
10.29999999999998,1.0,1.0,11.299999999999978,-0.9540192499020959,1.0
10.399999999999979,1.0,1.0,11.399999999999977,-0.9193285256646848,1.0
10.499999999999979,1.0,1.0,11.499999999999977,-0.8754521746884397,1.0
10.599999999999978,1.0,1.0,11.599999999999977,-0.822828594968722,1.0
10.699999999999978,1.0,1.0,11.699999999999976,-0.7619835839190482,1.0
10.799999999999978,1.0,1.0,11.799999999999976,-0.6935250847771403,1.0
10.899999999999977,1.0,1.0,11.899999999999975,-0.6181371122370528,1.0
10.999999999999977,1.0,1.0,11.999999999999975,-0.5365729180004559,1.0
11.099999999999977,1.0,1.0,12.099999999999975,-0.4496474645346237,1.0
11.199999999999976,1.0,1.0,12.199999999999974,-0.3582292822368519,1.0
11.299999999999976,1.0,1.0,12.299999999999974,-0.2632317913658267,1.0
11.399999999999975,1.0,1.0,12.399999999999974,-0.16560417544833567,1.0
11.499999999999975,1.0,1.0,12.499999999999973,-0.06632189735122727,1.0
11.599999999999975,1.0,1.0,12.599999999999973,0.033623047221110064,1.0
11.699999999999974,1.0,1.0,12.699999999999973,0.1332320414199158,1.0
11.799999999999974,1.0,1.0,12.799999999999972,0.2315098251015113,1.0
11.899999999999974,1.0,1.0,12.899999999999972,0.3274744391376662,1.0
11.999999999999973,1.0,1.0,12.999999999999972,0.4201670368266151,1.0
12.099999999999973,1.0,1.0,13.099999999999971,0.5086614643723493,1.0
12.199999999999973,1.0,1.0,13.19999999999997,0.5920735147072,1.0
12.299999999999972,1.0,1.0,13.29999999999997,0.6695697621965799,1.0
12.399999999999972,1.0,1.0,13.39999999999997,0.7403758899524283,1.0
12.499999999999972,1.0,1.0,13.49999999999997,0.803784426551603,1.0
12.599999999999971,1.0,1.0,13.59999999999997,0.8591618148564804,1.0
12.69999999999997,1.0,1.0,13.699999999999969,0.9059547423084491,1.0
12.79999999999997,1.0,1.0,13.799999999999969,0.9436956694440942,1.0
12.89999999999997,1.0,1.0,13.899999999999968,0.9720075013949685,1.0
12.99999999999997,1.0,1.0,13.999999999999968,0.9906073556948659,1.0
13.09999999999997,1.0,1.0,14.099999999999968,0.9993093887479165,1.0
13.199999999999969,1.0,1.0,14.199999999999967,0.9980266527163637,1.0
13.299999999999969,1.0,1.0,14.299999999999967,0.9867719642746188,1.0
13.399999999999968,1.0,1.0,14.399999999999967,0.9656577765492862,1.0
13.499999999999968,1.0,1.0,14.499999999999966,0.934895055524695,1.0
13.599999999999968,1.0,1.0,14.599999999999966,0.8947911721405193,1.0
13.699999999999967,1.0,1.0,14.699999999999966,0.8457468311429522,1.0
13.799999999999967,1.0,1.0,14.799999999999965,0.7882520673753382,1.0
13.899999999999967,1.0,1.0,14.899999999999965,0.7228813495120006,1.0
